attrInteger,attrInteger,attrInteger,attrInteger
1152999,899,115299900,1153000
1227572,399,122757200,1227573
1398948,501,139894800,1398949
697138,722,69713800,697139
1003092,447,100309200,1003093
648832,754,64883200,648833
1718199,41,171819900,1718200
1028476,878,102847600,1028477
160077,555,16007700,160078
116466,956,11646600,116467
993103,796,99310300,993104
1615499,240,161549900,1615500
403626,59,40362600,403627
378369,455,37836900,378370
1743816,128,174381600,1743817
632243,541,63224300,632244
1344865,981,134486500,1344866
140739,891,14073900,140740
613242,767,61324200,613243
1424093,820,142409300,1424094
1862611,352,186261100,1862612
1347811,379,134781100,1347801
846380,719,84638000,846381
1782601,26,178260100,1782602
717034,165,71703400,717035
431199,657,43119900,431200
506958,285,50695800,506959
1776734,759,177673400,1776735
334042,255,33404200,334043
1084924,177,108492400,1084925
574502,383,57450200,574503
344181,74,34418100,344171
946386,369,94638600,946387
681272,307,68127200,681273
1819708,610,181970800,1819709
112277,402,11227700,112278
1500380,926,150038000,1500381
878902,734,87890200,878903
847210,790,84721000,847211
491723,89,49172300,491724
1373721,532,137372100,1373722
473858,855,47385800,473859
1800301,184,180030100,1800302
53296,352,5329600,53297
1236669,726,123666900,1236670
1261797,960,126179700,1261798
133768,533,13376800,133769
987524,200,98752400,987525
18775,55,1877500,18776
1758816,294,175881600,1758817
642867,57,64286700,642868
1138759,449,113875900,1138760
629483,970,62948300,629484
1536953,971,153695300,1536954
594684,200,59468400,594685
903326,26,90332600,903327
329688,583,32968800,329689
1901765,555,190176500,1901766
1004786,571,100478600,1004787
648037,188,64803700,648038
1323668,343,132366800,1323669
127546,90,12754600,127547
1071001,746,107100100,1071002
1863234,275,186323400,1863235
1764107,413,176410700,1764108
659972,689,65997200,659973
707064,875,70706400,707065
98942,119,9894200,98932
187907,258,18790700,187908
1454462,708,145446200,1454463
1426894,209,142689400,1426895
698104,894,69810400,698105
1459421,608,145942100,1459422
975095,112,97509500,975096
180385,680,18038500,180386
235577,520,23557700,235578
899784,435,89978400,899785
13670,482,1367000,13671
175185,199,17518500,175186
1878992,286,187899200,1878993
1990753,346,199075300,1990754
479833,672,47983300,479834
1152683,969,115268300,1152684
1892144,303,189214400,1892145
376732,797,37673200,376733
551652,408,55165200,551653
1815998,860,181599800,1815999
821178,709,82117800,821179
51508,698,5150800,51509
146708,255,14670800,146709
1409892,660,140989200,1409893
1650745,870,165074500,1650746
2802,233,280200,2803
1980893,493,198089300,1980883
9800,832,980000,9801
1751386,745,175138600,1751387
99110,657,9911000,99111
552745,551,55274500,552746
424211,214,42421100,424212
986643,970,98664300,986644
1293659,625,129365900,1293660
1428077,299,142807700,1428078
1701668,716,170166800,1701669
